STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,year,month,day,RAINFALL
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-16,0.17,0.0,0.0,70,2015,5,16,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-17,0.0,0.0,0.0,74,2015,5,17,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-18,1.54,0.0,0.0,77,2015,5,18,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-19,0.15,0.0,0.0,75,2015,5,19,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-20,0.0,0.0,0.0,67,2015,5,20,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-21,0.2,0.0,0.0,56,2015,5,21,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-22,0.0,0.0,0.0,59,2015,5,22,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-23,0.0,0.0,0.0,61,2015,5,23,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-24,0.0,0.0,0.0,63,2015,5,24,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-25,0.0,0.0,0.0,72,2015,5,25,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-26,0.0,0.0,0.0,74,2015,5,26,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-27,0.0,0.0,0.0,75,2015,5,27,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-28,0.0,0.0,0.0,77,2015,5,28,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-29,0.0,0.0,0.0,76,2015,5,29,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-30,0.0,0.0,0.0,77,2015,5,30,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-31,0.02,0.0,0.0,77,2015,5,31,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-01,2.5,0.0,0.0,76,2015,6,1,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-02,0.55,0.0,0.0,62,2015,6,2,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-03,0.07,0.0,0.0,58,2015,6,3,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-04,0.15,0.0,0.0,60,2015,6,4,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-05,0.14,0.0,0.0,61,2015,6,5,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-06,0.0,0.0,0.0,70,2015,6,6,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-07,0.0,0.0,0.0,70,2015,6,7,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-08,1.3,0.0,0.0,72,2015,6,8,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-09,0.0,0.0,0.0,75,2015,6,9,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-10,0.0,0.0,0.0,74,2015,6,10,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-11,0.0,0.0,0.0,78,2015,6,11,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-12,0.0,0.0,0.0,83,2015,6,12,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-13,0.0,0.0,0.0,81,2015,6,13,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-14,0.04,0.0,0.0,81,2015,6,14,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-15,0.1,0.0,0.0,79,2015,6,15,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-16,0.0,0.0,0.0,81,2015,6,16,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-17,0.47,0.0,0.0,78,2015,6,17,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-18,0.88,0.0,0.0,75,2015,6,18,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-19,0.06,0.0,0.0,76,2015,6,19,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-20,1.92,0.0,0.0,78,2015,6,20,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-21,0.09,0.0,0.0,79,2015,6,21,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-22,0.0,0.0,0.0,81,2015,6,22,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-23,1.3,0.0,0.0,83,2015,6,23,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-24,0.0,0.0,0.0,74,2015,6,24,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-25,0.41,0.0,0.0,73,2015,6,25,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-26,0.0,0.0,0.0,71,2015,6,26,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-27,3.11,0.0,0.0,69,2015,6,27,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-28,0.0,0.0,0.0,69,2015,6,28,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-29,0.0,0.0,0.0,70,2015,6,29,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-06-30,0.0,0.0,0.0,75,2015,6,30,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-07-01,0.62,0.0,0.0,76,2015,7,1,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-07-02,0.18,0.0,0.0,71,2015,7,2,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-07-03,0.0,0.0,0.0,70,2015,7,3,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-07-04,0.27,0.0,0.0,72,2015,7,4,Slight Rain
